issue,last_updated
figs-123person,2026-01-23
figs-apostrophe,2026-01-24
figs-aside,2026-01-23
figs-declarative,2026-01-24
figs-distinguish,2026-01-24
figs-doublenegatives,2026-01-24
figs-doublet,2026-01-24
figs-ellipsis,2026-01-24
figs-euphemism,2026-01-23
figs-events,2026-01-24
figs-exclamations,2026-01-24
figs-exclusive,2026-01-24
figs-explicit,2026-01-23
figs-explicitinfo,2026-01-23
figs-extrainfo,2026-01-23
figs-gendernotations,2026-01-24
figs-genericnoun,2026-01-24
figs-go,2026-01-23
figs-hendiadys,2026-01-24
figs-hyperbole,2026-01-24
figs-hypo,2026-01-23
figs-idiom,2026-01-23
figs-imperative,2026-01-24
figs-imperative3p,2026-01-24
figs-infostructure,2026-01-26
figs-irony,2026-01-23
figs-litany,2026-01-24
figs-litotes,2026-01-24
figs-merism,2026-01-23
figs-metaphor,2026-01-23
figs-metonymy,2026-01-23
figs-nominaladj,2026-01-24
figs-parables,2026-01-24
figs-parallelism,2026-01-24
figs-pastforfuture,2026-01-23
figs-personification,2026-01-24
figs-possession,2026-01-24
figs-quotations,2026-01-23
figs-quotemarks,2026-01-23
figs-quotesinquotes,2026-01-23
figs-rpronouns,2026-01-24
figs-rquestion,2026-01-23
figs-simile,2026-01-23
figs-synecdoche,2026-01-23
figs-you,2026-01-23
figs-youcrowd,2026-01-23
figs-youdual,2026-01-23
figs-youformal,2026-01-23
figs-yousingular,2026-01-23
grammar-collectivenouns,2026-01-24
grammar-connect-condition-contrary,2026-01-23
grammar-connect-condition-fact,2026-01-23
grammar-connect-condition-hypothetical,2026-01-23
grammar-connect-exceptions,2026-01-23
grammar-connect-logic-contrast,2026-01-23
grammar-connect-logic-goal,2026-01-23
grammar-connect-logic-result,2026-01-23
grammar-connect-time-background,2026-01-24
grammar-connect-time-sequential,2026-01-24
grammar-connect-time-simultaneous,2026-01-24
grammar-connect-words-phrases,2026-01-24
translate-bdistance,2026-01-24
translate-blessing,2026-01-24
translate-bmoney,2026-01-24
translate-bvolume,2026-01-24
translate-bweight,2026-01-24
translate-fraction,2026-01-24
translate-hebrewmonths,2026-01-24
translate-kinship,2026-01-24
translate-names,2026-01-26
translate-numbers,2026-01-24
translate-ordinal,2026-01-24
translate-symaction,2026-01-23
translate-textvariants,2026-01-23
translate-alternativereadings,2026-01-23
translate-transliterate,2026-01-24
translate-unknown,2026-01-26
translate-versebridge,2026-01-24
writing-background,2026-01-24
writing-endofstory,2026-01-24
writing-newevent,2026-01-24
writing-oathformula,2026-01-24
writing-participants,2026-01-24
writing-poetry,2026-01-26
writing-pronouns,2026-01-24
writing-proverbs,2026-01-24
writing-quotations,2026-01-23
writing-symlanguage,2026-01-23
writing-politeness,2026-01-24
translate-tense,2026-01-23
figs-reduplication,2026-01-24
figs-abstractnouns,2026-01-26
figs-activepassive,2026-01-26
